date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:17	114/114	---M-Z	200	added ('OK')	text/plain	date:Sun,%2025%20Aug%202024%2010:53:20%20GMT	https://www.theogdenver.com/robots.txt		(from )
16:23:18	43029/43029	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Aug%202024%2010:53:20%20GMT	https://www.theogdenver.com/	C:/My%20Web%20Sites/asha%20bhel/www.theogdenver.com/index.html	(from )
16:23:18	20273/20273	---M--	200	added ('OK')	image/png	etag:%2220c8eeb4c711a6f2c904bc48adabf658%22	https://media-cdn.getbento.com/accounts/3c10e657dc5f2aa01b55394e8376688a/media/images/60808fav-icon.png	C:/My%20Web%20Sites/asha%20bhel/media-cdn.getbento.com/accounts/3c10e657dc5f2aa01b55394e8376688a/media/images/60808fav-icon.png	(from https://www.theogdenver.com/)
16:23:19	24196/24196	---M--	200	added ('OK')	image/jpeg	date:Wed,%2007%20Aug%202024%2001:56:37%20GMT	https://images.getbento.com/accounts/3c10e657dc5f2aa01b55394e8376688a/media/images/850Logo_primary.png?w=1200&fit=fill&auto=compress,format&h=600&bg=EDEDF1&pad=100	C:/My%20Web%20Sites/asha%20bhel/images.getbento.com/accounts/3c10e657dc5f2aa01b55394e8376688a/media/images/850Logo_primary1dd2.jpg	(from https://www.theogdenver.com/)
16:23:19	72445/72445	---MCZ	200	added ('OK')	application/javascript	etag:%22787e6d40738aaf5fc6d038ed4fbcc2e3%22	https://wsv3cdn.audioeye.com/bootstrap.js?h=31e725c2f4ca55b1b2fcbae65ca450d0	C:/My%20Web%20Sites/asha%20bhel/wsv3cdn.audioeye.com/bootstrap1d46.js	(from https://www.theogdenver.com/)
16:23:20	35742/35742	---M-Z	200	added ('OK')	application/javascript	etag:%22a6f411a617df1616418ff069c5fc11af%22	https://theme-assets.getbento.com/sensei/dce48e2.sensei/assets/js/head.min.js	C:/My%20Web%20Sites/asha%20bhel/theme-assets.getbento.com/sensei/dce48e2.sensei/assets/js/head.min.js	(from https://www.theogdenver.com/)
16:23:21	904/904	---MC-	200	added ('OK')	text/javascript	date:Sun,%2025%20Aug%202024%2010:53:24%20GMT	https://www.google.com/recaptcha/api.js?render=6LcM_jgpAAAAALjf-oyMP7LJ4JR0YVdXJBSk5XMm	C:/My%20Web%20Sites/asha%20bhel/www.google.com/recaptcha/api99ca.js	(from https://www.theogdenver.com/)
16:23:22	230446/230446	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2025%20Aug%202024%2010:53:24%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/asha%20bhel/connect.facebook.net/en_US/fbevents.js	(from https://www.theogdenver.com/)
16:23:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2025%20Aug%202024%2010:53:25%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/asha%20bhel/www.googletagmanager.com/gtm.65445.delayed	(from https://www.theogdenver.com/)
16:23:22	66678/66678	---M--	200	added ('OK')	image/png	date:Tue,%2014%20May%202024%2000:49:55%20GMT	https://images.getbento.com/accounts/3c10e657dc5f2aa01b55394e8376688a/media/images/850Logo_primary.png	C:/My%20Web%20Sites/asha%20bhel/images.getbento.com/accounts/3c10e657dc5f2aa01b55394e8376688a/media/images/850Logo_primary.png	(from https://www.theogdenver.com/)
